timeWindow,deviceName,processName,processId,description,errorType,numberOfOccurrence
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error = 2:",No such file or directory,1
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
00,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error = 2:",No such file or directory,1
01,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,19
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/signpost_reporter, error = 108:",Invalid path,1
02,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/installer, error = 2:",No such file or directory,3
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,16
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud, error = 2:",No such file or directory,1
03,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
04,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
04,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,3
05,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
05,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,2
06,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
07,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,16
07,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
08,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
08,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/fud, error = 2:",No such file or directory,1
08,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd, error = 2:",No such file or directory,1
08,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
08,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
09,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
09,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd, error = 2:",No such file or directory,1
09,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,4
10,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
11,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,18
11,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
12,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,18
12,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
13,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,8
13,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,2
13,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
14,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,11
14,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd, error = 2:",No such file or directory,1
14,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,3
14,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
14,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/networksetup, error = 2:",No such file or directory,12
15,BBAOMACBOOKAIR2,Microsoft-Teams-Helper[54445]:,874,[HockeySDK] -[BITCrashManager invokeDelayedProcessing]/874,[HockeySDK]_WARNING,1
15,BBAOMACBOOKAIR2,Teams[54434]:,874,[HockeySDK] -[BITCrashManager invokeDelayedProcessing]/874,[HockeySDK]_WARNING,1
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,15
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PreferencePanes/Wallet.prefPane/Contents/Resources/walletAvailabilityCheckTool, error = 2:",No such file or directory,1
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,1
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,4
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
15,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/networksetup, error = 2:",No such file or directory,12
16,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,17
16,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
16,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/local/bin/docker-credential-osxkeychain, error = 2:",No such file or directory,11
17,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,19
17,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,2
17,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,1
18,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,4
20,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,1
21,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,1
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,2
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/SystemAdministration.framework/Versions/A/Resources/activateSettings, error = 2:",No such file or directory,1
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/bin/fdesetup, error = 2:",No such file or directory,10
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,2
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/remindd, error = 108:",Invalid path,1
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/security_authtrampoline, error = 108:",Invalid path,1
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/diskutil, error = 2:",No such file or directory,16
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/networksetup, error = 2:",No such file or directory,24
22,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/sbin/system_profiler, error = 2:",No such file or directory,2
23,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,Could not find uid associated with service: 0:,Undefined error:,19
23,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/Resources/DesktopServicesHelper, error = 2:",No such file or directory,1
23,BBAOMACBOOKAIR2,com.apple.xpc.launchd[1],1,"Failed to bootstrap path: path = /usr/libexec/mdmclient, error = 108:",Invalid path,3
